,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
54,55,Báo cáo tài chính Hợp nhất quý II/ 2020,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Quý II năm 2020,16/07/2020 17:02:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý II/ 2020,./crawl_table/AAV/BCTC Hợp nhất Quý II năm 2020_16_07_2020 17_02_00
55,56,Báo cáo tài chính Riêng quý II/ 2020,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Riêng Quý II năm 2020,16/07/2020 16:51:24,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý II/ 2020,./crawl_table/AAV/BCTC Riêng Quý II năm 2020_16_07_2020 16_51_24
56,57,Báo cáo tài chính Hợp nhất quý I/ 2020,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý I năm 2020,16/04/2020 09:38:16,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý I/ 2020,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý I năm 2020_16_04_2020 09_38_16
57,58,Báo cáo tài chính Riêng quý I/ 2020,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý I năm 2020,16/04/2020 09:15:27,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý I/ 2020,./crawl_table/AAV/Báo cáo tài chính Riêng Quý I năm 2020_16_04_2020 09_15_27
58,59,Báo cáo tài chính Hợp nhất năm 2019,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính hợp nhất năm 2019,03/03/2020 07:54:56,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất năm 2019,./crawl_table/AAV/Báo cáo tài chính hợp nhất năm 2019_03_03_2020 07_54_56
59,60,Báo cáo tài chính Riêng năm 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC riêng năm 2019,02/03/2020 16:52:58,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng năm 2019,./crawl_table/AAV/BCTC riêng năm 2019_02_03_2020 16_52_58
60,61,Báo cáo tài chính Riêng quý IV/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC riêng Quý IV năm 2019,17/01/2020 14:41:15,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý IV/ 2019,./crawl_table/AAV/BCTC riêng Quý IV năm 2019_17_01_2020 14_41_15
61,62,Báo cáo tài chính Hợp nhất quý IV/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC hợp nhất quý IV năm 2019,17/01/2020 14:03:49,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý IV/ 2019,./crawl_table/AAV/BCTC hợp nhất quý IV năm 2019_17_01_2020 14_03_49
62,63,Báo cáo tài chính Riêng quý III/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng Quý III năm 2019,17/10/2019 08:22:07,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng quý III/ 2019,./crawl_table/AAV/Báo cáo tài chính Riêng Quý III năm 2019_17_10_2019 08_22_07
63,64,Báo cáo tài chính Hợp nhất quý III/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý III năm 2019,16/10/2019 16:26:51,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý III/ 2019,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý III năm 2019_16_10_2019 16_26_51
64,65,Báo cáo tài chính Hợp nhất bán niên 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Bán niên năm 2019,08/08/2019 16:16:43,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất bán niên 2019,./crawl_table/AAV/BCTC Hợp nhất Bán niên năm 2019_08_08_2019 16_16_43
65,66,Báo cáo tài chính Riêng bán niên 2019,CÔNG TY CỔ PHẦN AAV GROUP,BCTC riêng bán niên năm 2019,08/08/2019 16:13:36,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Riêng bán niên 2019,./crawl_table/AAV/BCTC riêng bán niên năm 2019_08_08_2019 16_13_36
66,67,Báo cáo tài chính Hợp nhất quý II/ 2019,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất Quý II năm 2019,18/07/2019 13:55:29,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý II/ 2019,./crawl_table/AAV/Báo cáo tài chính Hợp nhất Quý II năm 2019_18_07_2019 13_55_29
