,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
36,37,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 3 năm 2021,29/10/2021 15:56:10,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý 3 năm 2021_29_10_2021 15_56_10
37,38,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý 3 năm 2021,29/10/2021 15:45:40,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Báo cáo tài chính riêng quý 3 năm 2021_29_10_2021 15_45_40
38,39,Báo cáo tài chính hợp nhất bán niên năm 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất 6 tháng đầu năm 2021,28/08/2021 11:06:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất bán niên năm 2021,./crawl_table/AAA/Báo cáo tài chính hợp nhất 6 tháng đầu năm 2021_28_08_2021 11_06_00
39,40,Báo cáo tài chính Mẹ - Bán niên năm 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính 6 tháng đầu năm Công ty mẹ 2021,28/08/2021 10:48:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Bán niên năm 2021,./crawl_table/AAA/Báo cáo tài chính 6 tháng đầu năm Công ty mẹ 2021_28_08_2021 10_48_00
40,41,Báo cáo tài chính Mẹ - Quý 2/ 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý 2 năm 2021,30/07/2021 14:40:29,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý 2/ 2021,./crawl_table/AAA/Báo cáo tài chính riêng quý 2 năm 2021_30_07_2021 14_40_29
41,42,Báo cáo tài chính hợp nhất quý 2/ năm 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 2 năm 2021,30/07/2021 14:25:11,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 2/ năm 2021,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý 2 năm 2021_30_07_2021 14_25_11
42,43,Báo cáo tài chính hợp nhất quý 1/ năm 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính quý I năm 2021 hợp nhất,29/04/2021 14:59:56,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 1/ năm 2021,./crawl_table/AAA/Báo cáo tài chính quý I năm 2021 hợp nhất_29_04_2021 14_59_56
43,44,Báo cáo tài chính Mẹ - Quý 1/ 2021,CTCP Nhựa An Phát Xanh,Báo cáo tài chính quý I Công ty mẹ,29/04/2021 14:43:08,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý 1/ 2021,./crawl_table/AAA/Báo cáo tài chính quý I Công ty mẹ_29_04_2021 14_43_08
44,45,Đính chính Báo cáo tài chính Mẹ - Năm,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Công ty mẹ năm 2020,31/03/2021 14:36:44,0800373586,CTCP Nhựa An Phát Xanh,Đính chính Báo cáo tài chính Mẹ - Năm,./crawl_table/AAA/Báo cáo tài chính Công ty mẹ năm 2020_31_03_2021 14_36_44
45,46,Báo cáo tài chính hợp nhất năm 2020,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất năm 2020,29/03/2021 16:47:54,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất năm 2020,./crawl_table/AAA/Báo cáo tài chính hợp nhất năm 2020_29_03_2021 16_47_54
