,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
59,60,Báo cáo tài chính Hợp nhất quý IV/ 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers công bố báo cáo quý 4 2019 tổng hợp,23/01/2020 16:36:48,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý IV/ 2019,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý IV_ 2019_23_01_2020 16_36_48
60,61,Báo cáo tài chính Tổng hợp quý III/ 2019,CTCP Siam Brothers Việt Nam,Công ty Cp Siam Brothers Vn công bố báo cáo tài chính tổng hợp quý 3 2019,30/10/2019 17:52:45,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp quý III/ 2019,./crawl_table/SBV/Báo cáo tài chính Tổng hợp quý III_ 2019_30_10_2019 17_52_45
61,62,Báo cáo tài chính Mẹ quý III/ 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam brothers Vn công bố báo cáo tài chính quý 3 2019 Trụ Sở Chính,30/10/2019 17:40:15,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Mẹ quý III/ 2019,./crawl_table/SBV/Báo cáo tài chính Mẹ quý III_ 2019_30_10_2019 17_40_15
62,63,Báo cáo tài chính Tổng hợp bán niên 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính soát xét bán niên 2019 tổng hợp,29/08/2019 17:39:16,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp bán niên 2019,./crawl_table/SBV/Báo cáo tài chính Tổng hợp bán niên 2019_29_08_2019 17_39_16
63,64,Báo cáo tài chính Mẹ bán niên 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers Vn công bố báo cáo tài chính soát xét 6 tháng 2019_Công ty mẹ,16/08/2019 17:10:27,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Mẹ bán niên 2019,./crawl_table/SBV/Báo cáo tài chính Mẹ bán niên 2019_16_08_2019 17_10_27
64,65,Báo cáo tài chính Hợp nhất quý II/ 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính quý 2 2019 họp nhất,20/07/2019 18:56:58,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý II/ 2019,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý II_ 2019_20_07_2019 18_56_58
65,66,Báo cáo tài chính Riêng quý II/ 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính quý 2 2019 Trụ sở chính,20/07/2019 18:33:33,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng quý II/ 2019,./crawl_table/SBV/Báo cáo tài chính Riêng quý II_ 2019_20_07_2019 18_33_33
66,67,Báo cáo tài chính Mẹ quý I/ 2019,CTCP Siam Brothers Việt Nam,Công ty Cp Siam Brothers VN công bố báo cáo tài chính quý 1 2019 Trụ Sở Chính,19/04/2019 18:53:43,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Mẹ quý I/ 2019,./crawl_table/SBV/Báo cáo tài chính Mẹ quý I_ 2019_19_04_2019 18_53_43
67,68,Báo cáo tài chính Tổng hợp quý I/ 2019,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brotherrs VN công bố báo cáo tài chính quý 1 2019 Tổng hợp,19/04/2019 18:42:40,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp quý I/ 2019,./crawl_table/SBV/Báo cáo tài chính Tổng hợp quý I_ 2019_19_04_2019 18_42_40
68,69,Báo cáo tài chính Hợp nhất năm 2018,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính hợp nhất 2018 kiểm toán,30/03/2019 15:03:02,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất năm 2018,./crawl_table/SBV/Báo cáo tài chính Hợp nhất năm 2018_30_03_2019 15_03_02
69,70,Báo cáo tài chính Riêng năm 2018,CTCP Siam Brothers Việt Nam,Công ty Cp Siam Brothers VN công bố báo cáo tài chính năm 2018 kiểm toán trụ sở chính,30/03/2019 14:57:01,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng năm 2018,./crawl_table/SBV/Báo cáo tài chính Riêng năm 2018_30_03_2019 14_57_01
70,71,Báo cáo tài chính Riêng quý IV/ 2018,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính quý 4 2018 Trụ Sở Chính,30/01/2019 13:05:16,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng quý IV/ 2018,./crawl_table/SBV/Báo cáo tài chính Riêng quý IV_ 2018_30_01_2019 13_05_16
71,72,Báo cáo tài chính Hợp nhất quý IV/ 2018,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính quý 4 2018 tổng hợp,30/01/2019 13:00:28,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý IV/ 2018,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý IV_ 2018_30_01_2019 13_00_28
72,73,Báo cáo tài chính Tổng hợp quý III/ 2018,CTCP Siam Brothers Việt Nam,Công ty Cp Siam brothers VN công bố báo cáo tài chính quý 3 2018 Tổng hợp,30/10/2018 18:18:20,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp quý III/ 2018,./crawl_table/SBV/Báo cáo tài chính Tổng hợp quý III_ 2018_30_10_2018 18_18_20
73,74,Báo cáo tài chính Mẹ quý III/ 2018,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính quý 3 2018 Trụ Sở Chính,30/10/2018 17:58:49,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Mẹ quý III/ 2018,./crawl_table/SBV/Báo cáo tài chính Mẹ quý III_ 2018_30_10_2018 17_58_49
74,75,Báo cáo tài chính Riêng bán niên 2018,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính soát xét bán niên 2018_Trụ Sở chính,29/08/2018 18:51:58,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng bán niên 2018,./crawl_table/SBV/Báo cáo tài chính Riêng bán niên 2018_29_08_2018 18_51_58
75,76,Báo cáo tài chính Hợp nhất bán niên 2018,CTCP Siam Brothers Việt Nam,Công ty CP Siam Brothers VN công bố báo cáo tài chính soát xét bán niên năm 2018_Tổng hợp,29/08/2018 18:39:27,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất bán niên 2018,./crawl_table/SBV/Báo cáo tài chính Hợp nhất bán niên 2018_29_08_2018 18_39_27
76,77,Báo cáo tài chính Tổng hợp quý II/ 2018,CTCP Siam Brothers Việt Nam,Báo cáo tài chính tổng hợp quý 2 năm 2018 Công ty CP Siam Brothers VN,30/07/2018 20:36:04,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Tổng hợp quý II/ 2018,./crawl_table/SBV/Báo cáo tài chính Tổng hợp quý II_ 2018_30_07_2018 20_36_04
77,78,Báo cáo tài chính Riêng quý II/ 2018,CTCP Siam Brothers Việt Nam,báo cáo tài chính quý 2 2018 Trụ Sở Chính Công ty CP Siam Brothers VN,30/07/2018 20:02:18,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng quý II/ 2018,./crawl_table/SBV/Báo cáo tài chính Riêng quý II_ 2018_30_07_2018 20_02_18
78,79,Báo cáo tài chính Riêng quý I/ 2018,CTCP Siam Brothers Việt Nam,SBV công bố báo cáo tài chính Quý 1 của Trụ sở chính,20/04/2018 12:07:55,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng quý I/ 2018,./crawl_table/SBV/Báo cáo tài chính Riêng quý I_ 2018_20_04_2018 12_07_55
79,80,Báo cáo tài chính Hợp nhất quý I/ 2018,CTCP Siam Brothers Việt Nam,Báo cáo tài chính quý 1 năm 2018 Công ty CP Siam Brothers VN Tổng hợp,20/04/2018 11:25:07,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất quý I/ 2018,./crawl_table/SBV/Báo cáo tài chính Hợp nhất quý I_ 2018_20_04_2018 11_25_07
80,81,Báo cáo tài chính Hợp nhất năm 2017,CTCP Siam Brothers Việt Nam,Báo cáo kiểm toán 2017 Tổng hợp Công ty CP Siam Brothers VN,29/03/2018 21:28:55,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Hợp nhất năm 2017,./crawl_table/SBV/Báo cáo tài chính Hợp nhất năm 2017_29_03_2018 21_28_55
81,82,Báo cáo tài chính Riêng năm 2017,CTCP Siam Brothers Việt Nam,Báo cáo kiểm toán năm 2017 Tru Sở Chính Công ty CP Siam Brothers VN,29/03/2018 14:24:31,0300812161,CTCP Siam Brothers Việt Nam,Báo cáo tài chính Riêng năm 2017,./crawl_table/SBV/Báo cáo tài chính Riêng năm 2017_29_03_2018 14_24_31
